pid,worker,iteration,target,best_target,acq_params,lr,w,layers,neurons
8856,0,0,304.0,304.0,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 4, 'kappa': 7.943282347242815, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",0.05649433303056809,1614.4137966653361,1,64
21796,1,0,154.0,154.0,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 4, 'kappa': 7.943282347242815, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",1.500742661212768,55.264038307268365,1,4
12492,2,0,74.0,304.0,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 4, 'kappa': 7.943282347242815, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",0.00022886782838717746,2499.926664413202,2,4
23592,3,0,203.0,203.0,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 4, 'kappa': 7.943282347242815, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",2.9163181930452423e-06,1.95724412495555,1,64
17976,0,1,143.0,304.0,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 8, 'kappa': 6.3095734448019325, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",98.7729443239469,4500.212166759485,1,64
19012,1,1,156.5,304.0,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 8, 'kappa': 6.3095734448019325, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",1.4842909394428835e-07,70805.93182420566,2,256
10580,2,1,108.0,304.0,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 8, 'kappa': 6.3095734448019325, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",1.6578204633151471e-06,11985.612784614408,1,256
17596,3,1,225.0,304.0,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 8, 'kappa': 6.3095734448019325, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",0.12627151912909135,838.0345745451863,2,4
22040,0,2,367.75,367.75,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 12, 'kappa': 5.011872336272723, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",0.0012662426510426177,24.0091492946083,1,128
15912,1,2,294.25,304.0,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 12, 'kappa': 5.011872336272723, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",0.09477325446612898,1010.3795280411559,1,32
